0.46,0.22,0.44,0.38,0.28,0.56,0.66,0.64,0.70
0.44,0.22,0.44,0.38,0.28,0.58,0.66,0.66,0.70
0.44,0.22,0.44,0.38,0.28,0.58,0.66,0.64,0.72
0.44,0.22,0.44,0.38,0.28,0.58,0.66,0.64,0.70
0.44,0.22,0.44,0.38,0.28,0.58,0.66,0.64,0.70
0.44,0.22,0.44,0.36,0.28,0.58,0.66,0.62,0.72
0.44,0.22,0.44,0.36,0.28,0.58,0.64,0.64,0.70
0.44,0.22,0.44,0.36,0.28,0.56,0.66,0.62,0.68
0.44,0.22,0.44,0.36,0.28,0.56,0.64,0.62,0.70
0.44,0.22,0.44,0.36,0.26,0.56,0.66,0.62,0.68
0.44,0.22,0.42,0.38,0.28,0.56,0.66,0.64,0.70
0.44,0.22,0.42,0.36,0.26,0.56,0.64,0.60,0.66
0.44,0.20,0.44,0.36,0.26,0.56,0.66,0.60,0.68
0.44,0.20,0.42,0.36,0.28,0.54,0.64,0.62,0.68
0.44,0.20,0.42,0.34,0.26,0.54,0.64,0.60,0.68
0.44,0.14,0.44,0.36,0.26,0.48,0.64,0.58,0.66
0.42,0.22,0.44,0.36,0.28,0.56,0.64,0.64,0.68
0.42,0.22,0.44,0.36,0.28,0.54,0.66,0.62,0.70
0.42,0.22,0.44,0.34,0.28,0.56,0.66,0.62,0.68
0.42,0.22,0.42,0.36,0.26,0.54,0.64,0.62,0.68
0.42,0.20,0.44,0.36,0.28,0.54,0.64,0.60,0.66
0.42,0.20,0.44,0.36,0.26,0.56,0.64,0.64,0.70
0.42,0.20,0.44,0.36,0.26,0.54,0.62,0.62,0.68
0.42,0.20,0.44,0.34,0.28,0.56,0.66,0.60,0.66
0.42,0.20,0.44,0.34,0.28,0.56,0.64,0.60,0.68
0.42,0.20,0.44,0.34,0.26,0.56,0.64,0.60,0.68
0.42,0.20,0.44,0.34,0.26,0.54,0.64,0.60,0.70
0.42,0.20,0.44,0.34,0.26,0.54,0.62,0.60,0.66
0.42,0.20,0.42,0.36,0.28,0.56,0.66,0.62,0.70
0.42,0.20,0.42,0.36,0.28,0.56,0.64,0.60,0.66
0.42,0.20,0.42,0.36,0.28,0.54,0.64,0.60,0.70
0.42,0.20,0.42,0.36,0.28,0.54,0.62,0.60,0.68
0.42,0.20,0.42,0.36,0.26,0.56,0.66,0.62,0.66
0.42,0.20,0.42,0.36,0.26,0.56,0.64,0.62,0.70
0.42,0.20,0.42,0.36,0.26,0.56,0.64,0.62,0.66
0.42,0.20,0.42,0.36,0.26,0.56,0.64,0.62,0.66
0.42,0.20,0.42,0.36,0.26,0.56,0.64,0.60,0.68
0.42,0.20,0.42,0.36,0.26,0.56,0.64,0.60,0.68
0.42,0.20,0.42,0.36,0.26,0.56,0.62,0.62,0.68
0.42,0.20,0.42,0.36,0.26,0.54,0.66,0.62,0.70
0.42,0.20,0.42,0.36,0.26,0.54,0.64,0.62,0.68
0.42,0.20,0.42,0.36,0.26,0.54,0.62,0.60,0.64
0.42,0.20,0.42,0.36,0.26,0.54,0.60,0.60,0.66
0.42,0.20,0.42,0.34,0.28,0.56,0.64,0.62,0.68
0.42,0.20,0.42,0.34,0.28,0.56,0.64,0.60,0.68
0.42,0.20,0.42,0.34,0.28,0.54,0.64,0.60,0.66
0.42,0.20,0.42,0.34,0.28,0.54,0.62,0.60,0.68
