0.9982,0.2870
0.8982,0.1870
0.7982,0.2870
0.8982,0.2870
0.7982,0.2870
0.8982,0.2870
0.7982,0.1870
0.5982,0.0870
0.6982,0.3870
0.9982,0.4870
0.7982,0.5870
0.8982,0.6870
0.6982,0.4870
0.7982,0.3870
0.8982,0.2870
0.5982,0.1870
0.6982,0.3870
0.7982,0.4870
0.8982,0.2870
0.6982,0.3870
0.5982,0.2870
0.7982,0.1870
0.8982,0.3870
0.6982,0.4870
0.5982,0.2870
0.7982,0.3870
0.6982,0.4870
0.5982,0.3870
0.7982,0.2870
0.8982,0.3870
0.6982,0.2870
0.5982,0.1870
0.9982,0.2870
0.6582,0.3870
0.7982,0.2870
0.6982,0.3870
0.8982,0.4870
0.9982,0.5870
0.8982,0.6870
0.7982,0.4870
0.6982,0.3870
0.7982,0.2870
0.8982,0.1870
0.9982,0.3870
0.6982,0.2870
0.7982,0.4870
0.8982,0.2870
0.6982,0.1870
0.7982,0.3870
0.8982,0.2870
0.1917,0.9094
0.2917,0.6094
0.3917,0.7094
0.4917,0.8094
0.4917,0.9094
0.3917,0.9094
0.2917,0.6094
0.1917,0.5094
0.3917,0.9094
0.2917,0.7094
0.1917,0.8094
0.2917,0.6094
0.3917,0.8094
0.4917,0.8094
0.3917,0.7094
0.2917,0.8094
0.3917,0.8094
0.2917,0.8094
0.2917,0.8094
0.2917,0.8094
0.3917,0.8094
0.4917,0.8094
0.1917,0.8094
0.5917,0.8094
0.8917,0.8094
0.7917,0.8094
0.2917,0.8094
0.4917,0.8094
0.3917,0.8094
0.2917,0.8094
0.1917,0.9094
0.1917,0.6094
0.1917,0.7094
0.1917,0.9094
0.1917,0.9094
0.1917,0.9094
0.1917,0.9094
0.1917,0.9094
0.1917,0.6094
0.1917,0.7094
0.1917,0.8094
0.1917,0.9094
0.1917,0.7094
0.1917,0.7094
0.1917,0.8094
0.1917,0.6094
0.1917,0.8094
0.1917,0.7094
0.1917,0.8094
0.1917,0.7094
